Gustave Herter	Question: question: What was the name of the firm that provided interior decoration services?	Ref: Herter Brothers	Pred: Herter Brothers	Context: The firm of Herter Brothers, (working 1864–1906), was founded by German immigrants Gustave (1830–1898) and Christian Herter (1839–1883) in New York City. It began as a furniture and upholstery shop/warehouse, but after the Civil War became one of the first American firms to provide complete interior decoration services. With their own design office and cabinet-making and upholstery workshops, Herter Brothers could provide every aspect of interior furnishing—including decorative paneling, mantels, wall and ceiling decoration, patterned floors, carpets and draperies.
Thomas Affleck	Question: question: What type of furniture did Thomas Affleck specialize in?	Ref: pendale	Pred: Philadelphia Chippendale style	Context: Thomas Affleck (1740–1795) was an 18th-century American cabinetmaker, who specialized in furniture in the Philadelphia Chippendale style. He was born in Aberdeen, Scotland to a devout Quaker family. There is no documentation of where he learned his trade, but, based on stylistic similarities to his later work, it is conjectured that he apprenticed under Edinburgh cabinetmaker Alexander Peter. He moved to London in 1760, and immigrated to Philadelphia, Pennsylvania in 1763. That same year, John Penn, a grandson of Pennsylvania's founder William Penn, arrived in Philadelphia and was sworn in as governor of the Colony. One of Affleck's first major commissions came in 1766 for a substantial set of furniture for Governor John Penn and his bride, Anne Allen, daughter of William Allen, the Colony's richest resident.Affleck's first shop was on Union (now Delancey) Street. By 1768 he had moved to Second Street, south of Dock Creek. In 1771 he married Isabella Gordon, and was censured by his fellow Quakers for marrying "out of Meeting." The couple had six children, four of whom survived to adulthood. Isabella died in 1782, and he never remarried.Another major commission was for furnishing the Second Street city house of John and Elizabeth Cadwalader. For this Affleck was joined by fellow cabinetmaker Benjamin Randolph, and carvers Hercules Courtenay, John Pollard, Nicholas Bernard, and Martin Jugiez. Cadwalader's receipts for the work survive at the Historical Society of Pennsylvania, although determining which cabinetmaker made which piece (and which carver carved which) sometimes must be based on attribution.He participated in 1776 protests against war with Great Britain, but it is unclear whether he was a Loyalist, a pacifist, or both. He was deemed a "dangerous person"—along with a number of his fellow Quakers—in August 1777, and banished to Virginia in October. Seven months later he was allowed to return to Philadelphia. He did not fight in the American Revolutionary War on either side.Merchant Levi Hollingsworth was a patron and friend of Affleck's. A suite of furniture with identically carved legs – twin high chests, matching twin dressing tables, a set of 8 chairs, twin pie-crust tea tables – descended in the Hollingsworth family. During the war, Affleck sometimes traded furniture to Hollingsworth for materials and other goods. One of the pie-crust tea tables was traded to Hollingsworth for a 7-gallon cask of rum.He moved his shop to Elmslie's Court in 1791. In 1790 Philadelphia became the temporary national capital for a 10-year period, while Washington, D.C. was under construction. Affleck may have made the chairs in Congress Hall for the U.S. House of Representatives and U.S. Senate.Affleck died in 1795. His eldest son, Lewis, continued as a cabinetmaker.
Herter Brothers	Question: question: Who founded Herter Brothers?	Ref: Christian Herter	Pred: Gustave and Christian Herter	Context: The firm of Herter Brothers, (working 1864–1906), was founded by German immigrants Gustave (1830–1898) and Christian Herter (1839–1883) in New York City. It began as a furniture and upholstery shop/warehouse, but after the Civil War became one of the first American firms to provide complete interior decoration services. With their own design office and cabinet-making and upholstery workshops, Herter Brothers could provide every aspect of interior furnishing—including decorative paneling, mantels, wall and ceiling decoration, patterned floors, carpets and draperies.
George W. Maher	Question: question: What organization was Maher a Fellow of?	Ref: American Institute of Architects	Pred: American Institute of Architects	Context: George Washington Maher (December 25, 1864 – September 12, 1926) was an American architect during the first quarter of the 20th century. He is considered part of the Prairie School-style and was known for blending traditional architecture with the Arts & Crafts-style.According to architectural historian H. Allen Brooks, "His influence on the Midwest was profound and prolonged and, in its time, was certainly as great as was [Frank Lloyd] Wright's.  Compared with the conventional architecture of the day, his work showed considerable freedom and originality, and his interiors were notable for their open and flowing...space".Maher was elected a Fellow of the American Institute of Architects in 1916.
Samuel McIntire	Question: question: Who was the architect and craftsman who was best known for his work in the Chestnut Street District?	Ref: Samuel McIntire	Pred: Samuel McIntire	Context: Samuel McIntire (January 16, 1757 – February 6, 1811) was an American architect and craftsman, best known for his work in the Chestnut Street District, a classic example of Federal style architecture.
Charles-Honoré Lannuier	Question: question: What is another term for Federal furniture?	Ref: American Empire	Pred: French Antique	Context: Charles-Honoré Lannuier, French cabinetmaker (1779–1819), lived and worked in New York City. In Lannuier's time, the style of his furniture was described as "French Antique." Today his work is classified primarily as Federal furniture, Neoclassical, or American Empire.
Duncan Phyfe	Question: question: What style of cabinetry did Duncan Phyfe promote?	Ref: Neoclassicism	Pred: Neoclassicism	Context: Duncan Phyfe (27 April 1770 – 16 August 1854) was one of nineteenth-century America's leading cabinetmakers.Although he did not create a new furniture style, he interpreted fashionable European trends in a manner so distinguished and particular that he became a major spokesman for Neoclassicism in the United States, influencing a whole generation of American cabinetmakers.
Pottier & Stymus	Question: question: On what street was the workshop of Pottier & Stymus located?	Ref: St	Pred: 115 Wooster Street	Context: Pottier & Stymus was a prominent American furniture and design firm of the Victorian period. August Pottier, an immigrant from France, and William P. Stymus Sr. opened the company in New York City in 1859.  Their workshop was on 115 Wooster Street, and their salesroom was at 623 Broadway. The company grew quickly, and by 1871 the firm's factory occupied a full block on Lexington Avenue and 42nd Street, on the present site of the Socony–Mobil Building.  By 1872, they employed 700 men and 50 women.  Pottier & Stymus made furniture in the Neo-Greco, Renaissance Revival, Egyptian Revival, and Modern Gothic Styles.  Three drawing published in Harper's New Monthly Magazine in November 1876 provide evidence that in addition to exclusive furniture for office buildings and rich clients, Pottier & Stymus also produced simpler and cheaper furniture.  Some of Pottier & Stymus' work can be seen at the Brooklyn Museum.
Henry Hobson Richardson	Question: question: What nationality was Henry Hobson Richardson?	Ref: American	Pred: American	Context: Henry Hobson Richardson, FAIA (September 29, 1838 – April 27, 1886) was an American architect, best known for his work in a style that became known as Richardsonian Romanesque. Along with Louis Sullivan and Frank Lloyd Wright, Richardson is one of "the recognized trinity of American architecture".
Frank Lloyd Wright	Question: question: What is the name of the World Heritage Site that Wright designed?	Ref: The 20th-Century Architecture	Pred: The 20th Century Architecture of Frank Lloyd Wright	Context: Frank Lloyd Wright (June 8, 1867 – April 9, 1959) was an American architect, designer, writer, and educator. He designed more than 1,000 structures over a creative period of 70 years. Wright played a key role in the architectural movements of the twentieth century, influencing architects worldwide through his works and hundreds of apprentices in his Taliesin Fellowship. Wright believed in designing in harmony with humanity and the environment, a philosophy he called organic architecture. This philosophy was exemplified in Fallingwater (1935), which has been called "the best all-time work of American architecture".Wright was the pioneer of what came to be called the Prairie School movement of architecture and also developed the concept of the Usonian home in Broadacre City, his vision for urban planning in the United States. He also designed original and innovative offices, churches, schools, skyscrapers, hotels, museums, and other commercial projects. Wright-designed interior elements (including leaded glass windows, floors, furniture and even tableware) were integrated into these structures. He wrote several books and numerous articles and was a popular lecturer in the United States and in Europe. Wright was recognized in 1991 by the American Institute of Architects as "the greatest American architect of all time". In 2019, a selection of his work became a listed World Heritage Site as The 20th-Century Architecture of Frank Lloyd Wright.Raised in rural Wisconsin, Wright studied civil engineering at the University of Wisconsin and then apprenticed in Chicago, briefly with Joseph Lyman Silsbee, and then with Louis Sullivan at Adler & Sullivan.  Wright opened his own successful Chicago practice in 1893 and established a studio in his Oak Park, Illinois home in 1898. His fame increased and his personal life sometimes made headlines: leaving his first wife Catherine Tobin for Mamah Cheney  in 1909; the murder of Mamah and her children and others at his Taliesin estate by a staff member in 1914; his tempestuous marriage with second wife Miriam Noel (m. 1923–1927); and his courtship and marriage with Olgivanna Lazović (m. 1928–1959).
John Jelliff	Question: question: Who was the leading furniture manufacturer in New Jersey in the 1850s?	Ref: John Jelliff	Pred: John Jelliff & Co.	Context: John Jelliff (July 30, 1813 – July 2, 1893) was a significant furniture designer and manufacturer, based in Newark, New Jersey during the second half of the 19th century. By the 1850s, John Jelliff & Co. had become the leading furniture manufacturer in New Jersey.By 1843, J.Jelliff's was located at 301-303 Broad Street  (photo), and by 1876, John Jelliff & Co. was the largest furniture establishment in Newark, located at 794 & 796 Broad Street.Furniture with the Jelliff & Co. (or J.J. & Co.) maker's mark are exceedingly scarce. Most pieces can only be attributed to the firm.
Pierre Charles L'Enfant	Question: question: What nationality was Pierre Charles L'Enfant?	Ref: French-American	Pred: French-American.	Context: Pierre "Peter" Charles L'Enfant (French: [pjɛʁ ʃɑʁl lɑ̃fɑ̃]; August 2, 1754 – June 14, 1825) was a French-American military engineer who in 1791 designed the basic plan for Washington, D.C. (the capital city of the United States). His work is known today as the L'Enfant Plan.
Louis Sullivan	Question: question: What nationality was Sullivan?	Ref: American	Pred: American	Context: Louis Henry Sullivan (September 3, 1856 – April 14, 1924) was an American architect, and has been called a "father of skyscrapers" and "father of modernism." He was an influential architect of the Chicago School, a mentor to Frank Lloyd Wright, and an inspiration to the Chicago group of architects who have come to be known as the Prairie School. Along with Wright and Henry Hobson Richardson, Sullivan is one of "the recognized trinity of American architecture." The phrase "form follows function" is attributed to him, although he credited the concept to ancient Roman architect Vitruvius (as it turns out never said anything of the sort). In 1944, Sullivan was the second architect to posthumously receive the AIA Gold Medal.
Dankmar Adler	Question: question: In what city was the Guaranty Building built?	Ref: Buffalo	Pred: Buffalo New York	Context: Dankmar Adler (July 3, 1844 – April 16, 1900) was a German-born American architect and civil engineer. He is best known for his fifteen-year partnership with Louis Sullivan, during which they designed influential skyscrapers that boldly addressed their steel skeleton through their exterior design: the Wainwright Building in St. Louis, Missouri (1891), the Chicago Stock Exchange Building (1894), and the Guaranty Building in Buffalo, New York (1896).
Aaron Willard	Question: question: Which of Aaron Willard's brothers created the most significant clocks in the United States?	Ref: Simon	Pred: Simon	Context: Aaron Willard (October 14, 1757 – May 20, 1844) was an entrepreneur, an industrialist, and a designer of clocks who worked extensively at his Roxbury, Massachusetts, factory during the early years of the United States of America.While at the family farm at Grafton, Aaron Willard developed his career conjointly with his three brothers, who became celebrated horologists too (though Aaron's and his brother Simon's creations are the most significant).Both brothers moved to Roxbury, Boston, Massachusetts, (where the peninsular town of Boston joined to the mainland) where they developed one of the first modern American industries, independently from each other. Simon and Aaron Willard's clocks were the first economically accessible timepieces of the country.
Boston and Sandwich Glass Company	Question: question: Who built the Boston and Sandwich Glass Company?	Ref: Deming Jarves	Pred: Deming Jarves	Context: The Boston and Sandwich Glass Company was incorporated in 1826 to hold the glass factory built a year earlier in Sandwich, Massachusetts, by Deming Jarves. The factory was closed in 1888 amid disputes with a newly formed glassmakers' labor union.The factory was one of the earliest to produce pressed glass.The company was an employer of Nicholas Lutz. The Sandwich Glass Museum now contains many pieces from the company.== References ==
Samuel Danforth	Question: question: Who was the second pastor of The First Church in Roxbury?	Ref: Samuel Danforth	Pred: Samuel Danforth	Context: Samuel Danforth (1626–1674) was a Puritan minister, preacher, poet, and astronomer, the second pastor of The First Church in Roxbury and an associate of the Rev. John Eliot of Roxbury, Massachusetts, known as the “Apostle to the Indians.”
Myer Myers	Question: question: Who was a silversmith who lived and worked in New York City?	Ref: Myer Myers	Pred: Myer Myers (1723–1795)	Context: Myer Myers (1723–1795) was a silversmith who lived and worked in New York City.  He was a Jewish-American of Ashkenazi origin and a member of Congregation Shearith Israel, for whom be produced many works.  Historians believe he was an apprentice of the Huguenot silversmith Charles le Roux (silversmith).  He registered as a Freeman in 1746, and partnered with Benjamin Halsted from 1756-1766 as Halsted & Myers.  380 of his works survive in museums and private collections.== References ==
Adrian Bancker	Question: question: What position did Bancker hold in New York in 1755 and 1756?	Ref: Commissioner of Fortifications	Pred: Commissioner of Fortifications	Context: Adrian Bancker (1703 – August 21, 1772), also known as Adriaan or Adrianus Bancker, was a prominent silversmith in New York City.Bancker was the son of Evert Bancker, third mayor of Albany, New York, and baptized on October 10, 1703 in Albany. He was apprenticed to Henricus Boelen circa 1718 and made a freeman in 1731. In January of either  1728 or 1729 he married Gertrude Elizabeth Van Taerling, the daughter of Jan van Taerling, a former governor of Curaçao. He was a New York City alderman during the 1730s and 40s, a deacon in the Dutch Church, Commissioner of Fortifications in New York in 1755 and 1756, and from 1733 to 1766 was collector of the South Ward. In 1766 he advertised as being on Bridge Street, near the Exchange. He died in Albany on August 21, 1772.Bancker's work is collected in the Metropolitan Museum of Art, Winterthur, the Museum of the City of New York, the Clark Art Institute, and the Minneapolis Institute of Art.
Benjamin Burt	Question: question: What is the name of the silversmith who lived from 1729 to 1805?	Ref: Benjamin Burt	Pred: Benjamin Burt	Context: Benjamin Burt may refer to:Benjamin Burt (silversmith) (1729–1805), American silversmithBenjamin Burt (surgeon), Australian ophthalmologist and surgeon Ben Burtt (born 1948), American sound designer and filmmakerBenjamin A. Burtt, American sound editor
Robert Sanderson	Question: question: Who killed an off-duty police officer?	Ref: Eric Robert Rudolph	Pred: Eric Robert Rudolph	Context: Robert Sanderson may refer to:Robert Thomas Sanderson (1912–1989), chemist who developed the idea of electronegativity equalizationRobert Sanderson (Nova Scotia) (1696 – after 1761), merchant and politician of Nova ScotiaRobert Sanderson (theologian) (1587–1663), English theologian and casuistRobert Sanderson (MP), Member of House of Commons of England for West Looe 1588–1589Robert B. Sanderson (1825–1887), American farmer and politicianRobert Dewayne “Sande” Sanderson, off-duty police officer murdered by anti-abortion bomber Eric Robert Rudolph in the U.S. in 1998Robert G. Sanderson (1920–2012), President Emeritus of the National Association of the Deaf (U.S.)
Isaac Hutton	Question: question: What newspaper did Isaac Hutton advertise in 1796?	Ref: The Albany Gazette	Pred: The Albany Gazette	Context: Isaac Hutton (before July 20, 1766 –  8 Sep 1855) was an American silversmith and engraver, active in Albany, New York.Hutton was born in New York City to George and Anna Viele Hutton, and on July 20, 1766, was baptized into the Dutch Reformed Church. He moved to Albany in the 1780s, where he was probably apprenticed to silversmith John Folsom, with whom he partnered from 1787 to 1790 as FOLSOM & HUTTON. In 1791 he purchased property for his house and shop at 32 Market Street. In 1794 he engraved the Plan of the City of Albany, and in 1798 profiles of members of the House of Assembly. From February 1796 to 1817 he was in partnership with his brother, George Hutton, as I & G HUTTON, and on September 30, 1796, advertised in The Albany Gazette: "Three Silver Smiths, May have constant employ in a very convienent [sic] shop, and recieve [sic] prompt pay, by application immediately to I. & G. HUTTON, No 32, Market Street." They created the seal for Union College, in Schenectady, New York, for which they were paid in November 1796. During the War of 1812, the Huttons sold silver and other items for military use, including silver accoutrements and fittings, gunpowder, regimental drums, and even pianofortes, and sheep wool.Hutton was an active citizen in Albany. In 1791 he was a member of a fire company, in 1793 was a founding member and treasurer of Albany Mechanics Society, in 1811 served as a founding director of the Mechanics & Farmers Bank, and in 1813 was named president of the bank's board, in which he served until 1817. He was also a director of the Albany Water Works and a founder of the Albany Female Academy. Hutton went bankrupt in 1817 due to speculation in a venture to manufacture cotton goods, and left Albany after a sheriff's sale in 1819. He was listed in census records in 1850 and 1855 as a resident of Stuyvesant, New York, and died in Stuyvesant Landing.His work is collected in the Metropolitan Museum of Art, New York State Museum, Albany Institute of History and Art, and the Clark Art Institute.
Alexander Roux	Question: question: Who was a cabinetmaker who emigrated to the United States in the 1830s?	Ref: Roux	Pred: Alexander Roux	Context: Alexander Roux (1813–1886) was a French-trained ébéniste, or cabinetmaker, who emigrated to the United States in the 1830s. He opened a shop in New York City in 1837. The business grew quickly: by the 1850s he employed 120 craftsmen in his shop and introduced then-new industrial technologies, such as steam-powered saws.Roux specialized in the ornate Rococo Revival style, but practiced many others. His work is highly sought by collectors, with larger and more complex pieces fetching large sums. One of his sideboards was featured in a 2000 exhibit at New York's Metropolitan Museum of Art.
Jean-Jacques Caffieri	Question: question: Who was Jean-Jacques Caffieri appointed sculpteur du Roi to?	Ref: Louis XV	Pred: Louis XV	Context: Jean-Jacques Caffieri (29 April 1725 - 22 June 1792) was a French sculptor. He was appointed sculpteur du Roi to Louis XV and later afforded lodgings in the Galeries du Louvre. He designed the fine rampe d'escalier which still adorns the Palais Royal. He is better known for his portrait busts, in terracotta or marble: his bust of Madame du Barry is at the Hermitage Museum, St Petersburg. He made a name with his busts of Pierre Corneille and Jean Racine for the foyer of the Comédie Française.
